,Year,Month,Employment to population ratio (%),Employment to population ratioMales (%),Employment to population ratioFemales (%),Unemployment rate (%),Unemployment rate looked for full-time work (%),Unemployment rate looked for full-time workMales (%),Unemployment rate looked for full-time workFemales (%),Unemployment rate looked for only part-time work (%),Unemployment rate looked for only part-time workMales (%),Unemployment rate looked for only part-time workFemales (%),Participation rate (%),Employed total (000),Employed totalMales (000),Employed totalFemales (000),Employed full-time (000),Employed full-timeMales (000),Employed full-timeFemales (000),Employed part-time (000),Employed part-timeMales (000),Employed part-timeFemales (000),Unemployed total (000),Unemployed totalMales (000),Unemployed totalFemales (000),Unemployed looked for full-time work (000),Unemployed looked for full-time workMales (000),Unemployed looked for full-time workFemales (000),Unemployed looked for only part-time work (000),Unemployed looked for only part-time workMales (000),Unemployed looked for only part-time workFemales (000),Unemployment rateMales (000),Unemployment rateFemales (000),Labour force total (000),Labour force totalMales (000),Labour force totalFemales (000),Participation rateMales (000),Participation rateFemales (000),Not in the labour force (000),Employed total growth (000),Full-time employed growth (000),Part-time employed growth (000)
2013-06-01,2013,6,61.3683674,67.4833092,55.4294132,5.6958838,6.0427335,5.5977827,6.8436124,4.8885678,6.4704633,4.1859578,65.0749617,11470.9255349,6214.8807639,5256.044771,7994.1742812,5163.3745981,2830.7996831,3476.7512538,1051.5061659,2425.2450879,692.8335908,378.9176222,313.9159686,514.1344173,306.1734145,207.9610028,178.6991734,72.7442077,105.9549658,5.7465758,5.635874,12163.7591257,6593.7983861,5569.9607396,71.5977269,58.7399211,6528.159867315711,13.086620099998981,-11.239509199999702,24.3261293999999
2013-07-01,2013,7,61.2143929,67.2117622,55.3911095,5.6276735,5.957296,5.5579156,6.6733653,4.858758,6.2987137,4.2231273,64.8647704,11457.6521829,6197.4615,5260.1906829,7991.7082257,5152.1100965,2839.5981292,3465.9439572,1045.3514035,2420.5925536,683.2503575,373.4714045,309.778953,506.2484331,303.2016202,203.046813,177.0019244,70.2697843,106.7321401,5.6836892,5.5615914,12140.9025404,6570.9329045,5569.9696359,71.2620772,58.6531586,6576.34946794134,-13.273352000000159,-2.4660555000000386,-10.807296599999972
2013-08-01,2013,8,61.1108774,67.1054823,55.2917392,5.8209249,6.0493443,5.6799809,6.7067623,5.2875872,6.7782993,4.618585,64.8879566,11453.7569172,6195.2465694,5258.5103478,7999.7996418,5142.1738283,2857.6258135,3453.9572754,1053.0727411,2400.8845343,707.9222103,386.233915,321.6882953,515.0953157,309.663308,205.4320077,192.8268947,76.570607,116.2562877,5.8684959,5.764818,12161.6791276,6581.4804844,5580.1986431,71.289079,58.6742,6580.903879860587,-3.8952656999990722,8.09141610000006,-11.986681800000042
2013-09-01,2013,9,61.1489738,67.1217905,55.3524485,5.7052635,5.9957762,5.644891,6.6224475,5.0283483,6.1275663,4.5413937,64.8487669,11476.388045,6204.3335669,5272.0544781,8005.3583729,5151.061878,2854.2964949,3471.0296721,1053.2716889,2417.7579832,694.374045,376.920348,317.453697,510.5976671,308.1675533,202.4301138,183.7763778,68.7527946,115.0235832,5.7271814,5.6794567,12170.76209,6581.2539148,5589.5081751,71.1995159,58.6854641,6597.153896387088,22.631127799999376,5.558731099999932,17.0723966999999
2013-10-01,2013,10,61.0549955,66.9669062,55.3203489,5.8300878,6.2178357,5.9391353,6.714502,4.9376063,6.0180111,4.4497083,64.8349288,11470.3720942,6194.7763393,5275.5957549,7963.3729327,5116.1509717,2847.2219609,3506.9991615,1078.6253675,2428.373794,710.1342169,392.1093038,318.0249131,527.9782632,323.0409698,204.9372934,182.1559537,69.068334,113.0876197,5.9528786,5.685493,12180.5063111,6586.8856431,5593.620668,71.2056948,58.6551854,6606.444699016634,-6.0159507999997,-41.985440200000085,35.96948939999993
2013-11-01,2013,11,60.8761118,66.8323392,55.1012996,5.7944871,6.0811263,5.7743513,6.630493,5.1354779,6.5477106,4.5015242,64.6205407,11448.3542835,6187.0579389,5261.2963445,7953.9232905,5120.5233809,2833.3999096,3494.430993,1066.534558,2427.8964349,704.1768445,388.5232011,315.6536434,515.0063019,313.7967322,201.2095698,189.1705425,74.7264689,114.4440736,5.9085759,5.6599691,12152.5311279,6575.58114,5576.9499879,71.0291505,58.4071247,6653.456869504667,-22.017810699999245,-9.449642200000198,-12.568168499999956
2013-12-01,2013,12,60.6523856,66.6190804,54.8702081,5.9019894,6.2545123,5.9456103,6.8111315,5.0983133,6.5429692,4.4505347,64.4566078,11417.8255421,6172.0492814,5245.7762607,7906.8191641,5101.6535475,2805.1656165,3511.006378,1070.3957339,2440.6106442,716.1456995,397.4378656,318.7078338,527.5272358,322.4989732,205.0282625,188.6184637,74.9388924,113.6795713,6.0497548,5.7275361,12133.9712416,6569.487147,5564.4840945,70.9088947,58.2038549,6691.051755654284,-30.52874140000131,-47.104126399999586,16.575385000000097
2014-01-01,2014,1,60.7468671,66.683431,54.9934107,5.9342638,6.3932868,5.8166516,7.4243299,4.8814758,6.2061771,4.2931556,64.5791652,11454.9650558,6188.7278547,5266.2372011,7938.0300852,5122.2118597,2815.8182255,3516.9349706,1066.515995,2450.4189756,722.6519206,386.9112557,335.7406649,542.1630707,316.341713,225.8213577,180.4888499,70.5695427,109.9193071,5.8840099,5.9932523,12177.6169764,6575.6391105,5601.977866,70.8523928,58.4994291,6679.265020581901,37.13951369999995,31.210921099999723,5.928592599999774
2014-02-01,2014,2,60.787247,66.6548972,55.1001226,5.8940447,6.1929831,5.6493686,7.1571888,5.2118341,6.5124305,4.6268198,64.5944742,11481.9438149,6196.7824831,5285.1613318,7958.2421887,5118.5478756,2839.694313,3523.7016262,1078.2346075,2445.4670187,719.1371734,381.5906333,337.54654,525.389906,306.4798134,218.9100925,193.7472674,75.1108199,118.6364475,5.8006839,6.0032736,12201.0809883,6578.3731165,5622.7078718,70.759428,58.6191932,6687.65700269676,26.97875910000039,20.212103500000012,6.766655600000377
2014-03-01,2014,3,60.9489684,66.9198128,55.1613611,5.8669202,5.98161,5.4457551,6.929416,5.6073316,6.5835242,5.1612849,64.7476621,11531.9080812,6232.1578516,5299.7502296,7988.4493349,5132.3412972,2856.1080377,3543.4587463,1099.8165544,2443.6421919,718.7354754,373.1015033,345.6339721,508.238742,295.5919539,212.6467882,210.4967334,77.5095494,132.987184,5.6485519,6.1224172,12250.6435566,6605.2593549,5645.3842017,70.926111,58.7588213,6669.95242983022,49.96426629999951,30.207146200000352,19.75712009999961
2014-04-01,2014,4,60.9256654,66.9136373,55.1222092,5.798404,6.0497454,5.604196,6.8486194,5.2232402,6.7343146,4.5490701,64.6758313,11538.7495389,6237.2536587,5301.4958801,8008.3743246,5165.4620857,2842.9122389,3530.3752143,1071.791573,2458.5836412,710.2462572,384.0584123,326.1878448,515.6838173,306.6689458,209.0148715,194.5624399,77.3894666,117.1729733,5.800337,5.7961296,12248.9957961,6621.3120711,5627.683725,71.0338393,58.5137415,6690.066214997802,6.841457700000319,19.92498969999997,-13.08353199999965
2014-05-01,2014,5,60.7356917,66.5597019,55.0918476,5.9325264,6.281427,5.7479936,7.2268802,5.1204092,6.1644746,4.6633269,64.5660922,11513.9851455,6209.9183498,5304.0667957,8024.0147582,5158.9559053,2865.0588529,3489.9703873,1050.9624446,2439.0079428,726.1492074,383.6632539,342.4859535,537.8044196,314.6208383,223.1835813,188.3447878,69.0424156,119.3023722,5.8187382,6.065399,12240.1343529,6593.5816037,5646.5527492,70.6719157,58.6491527,6717.392633532672,-24.76439339999888,15.640433599999596,-40.404827000000296
2014-06-01,2014,6,60.7598971,66.5610057,55.1389715,6.0477935,6.3324821,5.8578083,7.172543,5.3957082,7.0677338,4.641774,64.6710699,11529.7938209,6215.6817034,5314.1121174,8001.5333212,5138.5565601,2862.9767611,3528.2604997,1077.1251433,2451.1353564,742.1838739,401.6544229,340.5294511,540.9513112,319.736332,221.2149793,201.2325627,81.9180909,119.3144718,6.0697298,6.0221227,12271.9776948,6617.3361263,5654.6415685,70.8621465,58.6722887,6704.015301412979,15.808675399999629,-22.48143700000037,38.2901124
