,Year,Month,Monthly hours worked in all jobs (000),Monthly hours worked in all jobs Males(000),Monthly hours worked in all jobs Females(000),Monthly hours worked in all jobs (employed full-time) (000),Monthly hours worked in all jobs (employed full-time) Males(000),Monthly hours worked in all jobs (employed full-time) Females(000),Monthly hours worked in all jobs (employed part-time) (000),Monthly hours worked in all jobs (employed part-time) Males(000),Monthly hours worked in all jobs (employed part-time) Females(000),Monthly hours worked in all jobs New South Wales(000),Monthly hours worked in all jobs Victoria(000),Monthly hours worked in all jobs Queensland(000),Monthly hours worked in all jobs South Australia(000),Monthly hours worked in all jobs Western Australia(000),Monthly hours worked in all jobs Tasmania(000),Monthly hours worked in all jobs Northern Territory(000),Monthly hours worked in all jobs Australian Capital Territory(000),Monthly worked hour growth (000),Monthly worked hour growth Males (000),Monthly worked hour growth Females (000),Monthly full-time worked hour growth (000),Monthly part-time worked hour growth (000),Monthly hours worked per thousand people New South Wales(000),Monthly hours worked per thousand people Victoria(000),Monthly hours worked per thousand people Queensland(000),Monthly hours worked per thousand people South Australia(000),Monthly hours worked per thousand people Western Australia(000),Monthly hours worked per thousand people Tasmania(000),Monthly hours worked per thousand people Northern Territory(000),Monthly hours worked per thousand people Australian Capital Territory(000)
1981-02-01,1981,2,961419.830351,673100.178534,288319.651817,895310.75955,659164.6156,236146.14395,66109.070801,13935.562934,52173.507867,340400.22349,255190.70127,146155.41061,83712.360136,86204.968314,25958.382154,9182.1912947,14615.651446,5228.931310999906,1150.1380409999983,4078.7932700000238,4572.30820999993,656.6231009999974,41.931537754373,38.490882406974464,28.57108994428697,47.65861664446342,32.7700784284954,48.47503670214753,37.386772372557004,34.14074152300864
1981-03-01,1981,3,960383.742902,672608.37427,287775.368632,893855.03656,658238.69538,235616.34118,66528.706342,14369.67889,52159.027452,340306.16529,258530.82381,145145.68348,83136.721179,84363.132244,25958.516077,8227.0246061,14715.693493,-1036.0874489999842,-491.8042639999185,-544.2831850000075,-1455.722989999922,419.63554100001056,41.919951378418325,38.99467922743933,28.373704130583523,47.33089734073442,32.06992026305785,48.47528679178338,33.497657190960915,34.374430023359025
1981-04-01,1981,4,974510.905597,681836.137049,292674.768548,907818.77235,667611.52632,240207.24603,66692.133247,14224.610729,52467.522518,342063.38362,263668.23165,147160.23844,84161.169117,87311.257418,26254.37577,8882.854404,15009.454462,14127.162695000065,9227.762778999982,4899.399916000024,13963.735789999948,163.42690500000026,42.13641089184528,39.7695638923664,28.767518021698756,47.91412987019641,33.19062473124002,49.02777921568627,36.16797395765472,35.06062710114459
1981-05-01,1981,5,963781.141647,673458.840472,290322.301175,896426.70163,658751.45705,237675.24458,67354.440017,14707.383422,52647.056595,340427.71207,256810.57106,146876.28985,83340.036772,85686.55541,26505.120935,9353.2494301,14781.60928,-10729.763950000051,-8377.29657700006,-2352.4673730000504,-11392.07071999996,662.3067699999956,41.93492388149791,38.735210344047424,28.712010526830223,47.44664774950186,32.573008214855925,49.49602415499533,38.08326315187297,34.5284028965195
1981-06-01,1981,6,965920.844787,673607.754311,292313.090476,898578.21523,658810.81203,239767.4032,67342.629557,14796.942281,52545.687276,343527.03227,259538.81939,144063.27552,83212.506424,86828.389769,25788.885943,8278.3415623,14683.57357,2139.703139999998,148.9138390000444,1990.7893010000116,2151.5135999999475,-11.810460000007879,42.3167075966987,39.14671705304756,28.162110354804025,47.37404293993738,33.00706674104767,48.158517167133525,33.706602452361565,34.29940100443822
1981-07-01,1981,7,968395.834457,675834.521636,292561.312821,901305.4624,661035.33278,240270.12962,67090.372057,14799.188856,52291.183201,341335.62504,257704.55113,149776.01197,84105.409235,86980.356502,25561.210985,8186.1132949,14746.548374,2474.989670000039,2226.7673250000225,248.2223450000165,2727.247169999988,-252.25749999999243,42.04676337028825,38.870051000769244,29.278860711562896,47.882384990037,33.06483558959933,47.733353846872085,33.33108019096091,34.44650402709647
1981-08-01,1981,8,964502.619187,672080.961391,292421.657796,897162.32082,657567.20805,239595.11277,67340.298367,14513.753341,52826.545026,337802.71451,257317.92912,150926.87001,84406.718408,85336.750393,25338.216661,8797.1064676,14576.271093,-3893.2152700000443,-3753.560245000059,-139.65502499998547,-4143.141579999938,249.92630999999528,41.611568675782216,38.81173609255042,29.50383540416382,48.05392451352121,32.440032841557056,47.3169312063492,35.81883740879479,34.04875284512964
1981-09-01,1981,9,977142.404826,681351.9506,295790.454226,909423.33087,666939.55092,242483.77995,67719.073956,14412.39968,53306.674276,344481.97968,259716.53931,149472.93283,87078.286173,86719.116101,25857.915197,9231.8143275,14583.801649,12639.785639000009,9270.989209000021,3368.7964299999876,12261.010049999924,378.7755889999971,42.434340931263854,39.173522875156486,29.219613494282086,49.574885381725025,32.96552729453357,48.287423337068155,37.5888205517101,34.066343492174724
1981-10-01,1981,10,964249.953424,669695.582547,294554.370877,896538.66075,654749.97306,241788.68769,67711.292674,14945.609487,52765.683187,340484.27305,257400.77358,148812.23471,83847.115743,84391.108791,25778.221929,9047.9282109,14488.282981,-12892.451402000035,-11656.368052999955,-1236.0833490000223,-12884.670119999908,-7.781281999996281,41.94189123552599,38.8242316746859,29.090457376600526,47.735334894961575,32.08055530715426,48.138603042016804,36.84009857858306,33.84322116561551
1981-11-01,1981,11,957461.233442,666629.622875,290831.610567,891286.96602,652840.60406,238446.36196,66174.267422,13789.018815,52385.248607,336469.94684,253639.35803,148516.13461,84068.301009,85748.728032,25555.153974,8906.7439165,14556.80217,-6788.719981999951,-3065.9596720000263,-3722.7603099999833,-5251.694729999988,-1537.0252519999922,41.4473942892338,38.25689045536132,29.032574452155217,47.861258758326215,32.596642603208394,47.72204290196078,36.26524395969055,34.00327533286615
1981-12-01,1981,12,969066.210349,673727.010803,295339.199546,903677.36456,660107.21249,243570.15207,65388.845789,13619.798313,51769.047476,340574.90471,256863.17158,152610.5977,83837.275903,86338.921894,25622.491113,8974.9827386,14243.855539,11604.976906999946,7097.387927999953,4507.588978999993,12390.398539999966,-785.4216330000054,41.95305551983247,38.74314417713691,29.832977753885253,47.72973293652149,32.82099973162016,47.84778919327731,36.54308932654723,33.272262412987615
1982-01-01,1982,1,966114.573689,671082.955658,295031.618031,900847.84863,657616.96219,243230.88644,65266.725059,13465.993468,51800.731591,341454.52617,256923.58782,148576.22249,83005.730721,86546.267001,25324.402261,9697.1207622,14586.700682,-2951.63665999996,-2644.055144999991,-307.58151499996893,-2829.515929999994,-122.12073000000237,42.061409974131564,38.75225686963604,29.04432069005962,47.25632264218616,32.89982019349198,47.29113400746965,39.48339072557003,34.073115351553376
1982-02-01,1982,2,967401.056323,674021.454529,293379.601794,901672.65622,659936.58708,241736.06914,65728.400103,14084.867449,51643.532654,338391.20499,257040.28346,153816.41597,83543.487352,86105.788335,25313.391615,8722.4078076,14468.058301,1286.4826340000145,2938.498871000018,-1652.0162370000035,824.8075899999822,461.67504400001053,41.68406072801182,38.76985828745532,30.068696309256183,47.56247500825505,32.73237601117616,47.27057257703081,35.51468977035831,33.79597827843961
1982-03-01,1982,3,967191.027428,674543.707927,292647.319501,899830.26072,659823.54118,240006.71954,67360.766708,14720.166747,52640.599961,339275.33052,257164.33998,153071.43717,83799.271255,85999.957687,25020.009545,8781.5354077,14079.063717,-210.02889499999583,522.2533980000298,-732.2822930000257,-1842.3954999999842,1632.3666049999883,41.792970007390984,38.78856996033123,29.923064640797573,47.70809635923712,32.69214539914849,46.72270690009337,35.755437327768725,32.887324730203225
1982-04-01,1982,4,961109.173985,670156.339539,290952.834446,893940.62215,654506.34101,239434.28114,67168.551835,15649.998529,51518.553306,337085.31604,255760.86056,151245.98358,83424.664677,85695.587665,24749.516067,8759.9138585,14387.324949,-6081.853443,-4387.368388000061,-1694.4850549999974,-5889.638570000068,-192.2148729999899,41.52319734417344,38.57688058040091,29.56621710096765,47.49482759863364,32.57644174903064,46.217583691876754,35.66740170399023,33.60739301331464
1982-05-01,1982,5,958766.36681,667963.747766,290802.619044,891481.88525,652693.1826,238788.70265,67284.48156,15270.565166,52013.916394,338253.27629,252093.8306,151035.63835,83120.457652,86702.186243,24407.5055,8953.1241815,14200.353078,-2342.8071749999654,-2192.5917729999637,-150.21540200000163,-2458.7368999999017,115.9297249999945,41.66707025006159,38.02377571305751,29.525097908317857,47.32163828750355,32.95909155439824,45.578908496732026,36.45408868688925,33.17064489138052
1982-06-01,1982,6,955080.373249,665135.208937,289945.164312,888063.08434,649589.94524,238473.1391,67017.288909,15545.263697,51472.025212,334593.35819,253741.20381,151317.21286,82506.706233,85706.963406,24319.116087,8901.081421,13994.708884,-3685.993560999981,-2828.5388289999682,-857.4547320000129,-3418.8009100001073,-267.19265100000484,41.2162303757083,38.27225204150893,29.58014130779005,46.9722210264731,32.58076613928381,45.41384890196078,36.24218819625408,32.69028003737444
1982-07-01,1982,7,954385.314728,664234.515681,290150.799047,886680.68892,648828.49597,237852.19295,67704.625808,15406.019711,52298.606097,335223.85484,253126.20576,152105.68616,81893.870981,84616.131166,24785.81437,8971.2147052,13662.562623,-695.0585210000863,-900.6932560000569,205.63473500002874,-1382.395419999957,687.3368990000017,41.29389687607785,38.17949075551668,29.73427546867364,46.623325352120695,32.16609563065461,46.285367637721755,36.52774717100977,31.91441864751226
1982-08-01,1982,8,949715.297814,659812.679532,289902.618282,880699.15261,643646.47536,237052.67725,69016.145204,16166.204172,52849.941032,335143.84586,252203.72051,148973.48209,80670.119905,85379.949842,24611.742547,8598.5522533,14133.895044,-4670.01691399992,-4421.836148999981,-248.18076499999734,-5981.536309999996,1311.5193960000033,41.284041125893076,38.040350610114785,29.12197870980354,45.926626760603476,32.4564547411237,45.960303542483665,35.01039191083062,33.01540538192011
1982-09-01,1982,9,946311.108586,657250.035652,289061.072934,878402.80851,641821.0943,236581.71421,67908.300076,15428.941352,52479.358724,332415.01366,250912.78791,148758.22804,81432.457474,85935.85982,24068.826132,8879.3396129,13908.578835,-3404.189228000003,-2562.6438799999887,-841.5453480000142,-2296.3440999999875,-1107.8451280000008,40.94789525252525,37.84563687385934,29.079899919851428,46.36063619356675,32.667779145442104,44.9464540280112,36.15366291897394,32.48908861247372
1982-10-01,1982,10,951328.272418,660664.701566,290663.570852,880910.19262,644124.94923,236785.24339,70418.079798,16539.752336,53878.327462,327005.90381,255079.34281,153526.77687,83255.916537,85050.868853,24226.798435,9458.5163689,13724.186515,5017.163831999991,3414.665914000012,1602.497917999979,2507.3841099999845,2509.7797220000066,40.28158460335058,38.47408600582211,30.01207640895318,47.39875692399658,32.33135742910363,45.24145366013072,38.511874466205214,32.05836607101144
